chart_id,difficulty,source_file,display_bpm,ebpm,total_stream_length,max_stream_length,break_count,stream_break_ratio,average_nps,peak_ebpm
9fd9c3e5,12,Stamina RPG 5/[12] Blood Is Pumpin' (Hard)/blood.sm,150.0,150.0,49,15,6,0.445,5.81,121.9
ecf835e8,12,Stamina RPG 5/[12] Crazy Loop (Mm ma ma)/Crazy Loop.sm,133.0,133.0,82,10,6,4.1,6.99,66.5
ffb4459d,12,East Coast Stamina 11 - Lower/[12] Discovery/Discovery.sm,130.0,130.0,109,32,4,3.893,7.4,97.5
0446193c,12,Stamina RPG 5/[12] Drink/pirate logic.sm,160.0,160.0,61,16,4,1.196,8.25,140.0
871ca38b,12,Stamina RPG 6/[12] Gimme Your Desire (Hard)/gimmeyourdesire.sm,160.0,160.0,53,16,4,1.325,7.54,140.0
ae2a7e0f,12,Stamina RPG 6/[12] Higanbana (Autobahn Remix)/Higanbana (Autobahn Remix).sm,140.0,140.0,84,8,7,1.787,6.88,131.2
00c6f5c7,12,Stamina RPG 6/[12] I'm Coming/coming.sm,135.0,135.0,50,12,2,3.333,6.47,92.8
5d458687,12,Stamina RPG 6/[12] Lifelight (Camellia's Hardstyle Bootleg)/Camellia_Lifelight_Hardstyle_Bootleg.sm,150.0,150.0,55,16,3,1.0,6.02,112.5
0f47db99,12,East Coast Stamina 10 - Lower/[12] Pernicious Deed/Pernicious Deed.sm,145.0,154.1,79,10,6,1.097,5.7,126.9
4bd327fb,12,East Coast Stamina 11 - Lower/[12] Stay Awake/stayawake.sm,160.0,160.0,47,16,2,0.701,5.52,80.0
8535beb2,12,East Coast Stamina 10 - Lower/[12] The Ones We Loved/The Ones We Loved.sm,136.0,136.0,86,55,1,2.098,6.61,119.0
41da69bd,12,East Coast Stamina 11 - Lower/[12] The Sampling Paradise (Extended)/samplingparadise.sm,150.0,150.0,50,16,9,0.397,7.01,140.6
65177b3c,12,East Coast Stamina 11 - Lower/[12] Wastelands/Wastelands.sm,146.0,182.5,1,1,0,0.0,6.78,
f509b9bb,12,East Coast Stamina 10 - Lower/[12] Wheelpower & Go/Wheelpower & Go.sm,156.0,156.0,34,8,7,0.333,6.87,146.2
a7830ab1,12,East Coast Stamina 10 - Lower/[12] When the Sun Goes Down/sungoesdown.sm,160.0,160.0,53,15,11,0.671,6.34,130.0
d92f2300,12,Stamina RPG 5/[12] Zi-Zi's Journey/02 Zi-Zi's Journey.sm,140.0,140.0,76,31,2,2.923,7.04,122.5
2f04a5a0,13,East Coast Stamina 11 - Lower/[13] Alone Tonight (Ronski Speed Remix)/alonetonight.sm,138.0,138.0,188,53,3,4.585,7.54,129.4
9730ee2c,13,Stamina RPG 6/[13] Alphaseeker/alphaseeker.sm,170.0,170.0,65,18,1,2.167,6.13,148.8
68b09357,13,Stamina RPG 5/[13] Aphasia/04 Aphasia.sm,155.0,155.0,91,40,5,1.75,8.92,135.6
62b1e9d5,13,Stamina RPG 6/[13] CHAOS/chaos.sm,150.0,150.0,88,32,5,2.667,8.15,140.6
